"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38379-52613","WR","Curtis","Curtis Samuel","Samuel","4.699999809265137","1","5500","TB@CAR","CAR","TB","","","","",""
"38379-55748","WR","James","James Washington","Washington","6.099999904632568","1","5500","SEA@PIT","PIT","SEA","","","","",""
"38379-32234","RB","Malcolm","Malcolm Brown","Brown","17.299999237060547","1","5500","NO@LAR","LAR","NO","","","","",""
"38379-6883","WR","Larry","Larry Fitzgerald","Fitzgerald","21.299999237060547","1","5500","ARI@BAL","ARI","BAL","","","","",""
"38379-14257","WR","Randall","Randall Cobb","Cobb","14.899999618530273","1","5500","DAL@WAS","DAL","WAS","","","","",""
"38379-55323","RB","Jaylen","Jaylen Samuels","Samuels","1.100000023841858","1","5400","SEA@PIT","PIT","SEA","","","","",""
"38379-64576","RB","Damien","Damien Harris","Harris","0","0","5400","NE@MIA","NE","MIA","","","","",""
"38379-72846","WR","A.J.","A.J. Brown","Brown","11.5","1","5400","IND@TEN","TEN","IND","","","","",""
"38379-71845","RB","Miles","Miles Sanders","Sanders","3.200000047683716","1","5400","PHI@ATL","PHI","ATL","","","","",""
"38379-11512","TE","Jimmy","Jimmy Graham","Graham","10.5","1","5400","MIN@GB","GB","MIN","Q","Finger","","",""
"38379-25011","TE","Darren","Darren Waller","Waller","10.5","1","5400","KC@OAK","OAK","KC","","","","",""
"38379-60858","WR","Christian","Christian Kirk","Kirk","8.399999618530273","1","5400","ARI@BAL","ARI","BAL","","","","",""
"38379-30297","TE","Trey","Trey Burton","Burton","7.506249904632568","16","5400","CHI@DEN","CHI","DEN","Q","Groin","","",""
"38379-52917","WR","DJ","DJ Chark Jr.","Chark Jr.","22.600000381469727","1","5400","JAC@HOU","JAC","HOU","","","","",""
"38379-64242","WR","Keke","Keke Coutee","Coutee","8.116666793823242","6","5400","JAC@HOU","HOU","JAC","","","","",""
"38379-6914","TE","Greg","Greg Olsen","Olsen","5.599999904632568","1","5400","TB@CAR","CAR","TB","Q","Back","","",""
"38379-28473","RB","Carlos","Carlos Hyde","Hyde","9","1","5400","JAC@HOU","HOU","JAC","","","","",""
"38379-31561","WR","Donte","Donte Moncrief","Moncrief","2.200000047683716","1","5400","SEA@PIT","PIT","SEA","","","","",""
"38379-40857","RB","Peyton","Peyton Barber","Barber","5.5","1","5400","TB@CAR","TB","CAR","","","","",""
