,Actual_Points,sdPts
370,8.6,1.0
375,5.5,0.7
379,3.3,1.2
387,5.5,0.9
395,7.5,1.2
429,6.6,1.2
455,3.9,0.8
520,4.5,0.6
527,7.7,1.2
580,7.1,1.0
581,21.8,1.4
623,9.9,0.7
648,15.5,0.8
649,6.2,1.1
655,13.3,0.9
660,6.1,0.9
671,3.8,0.7
816,6.0,0.4
853,8.1,0.5
914,3.6,0.3
939,3.7,0.5
968,9.3,0.4

76,15.1,2.0
81,13.8,1.1
136,12.7,2.2
141,4.0,1.2
146,4.1,2.5
158,8.1,2.2
193,6.8,2.3
227,15.3,1.2
240,13.5,1.0
277,5.8,2.3
335,11.4,0.7
336,11.9,1.2
339,11.7,1.0
344,3.9,1.0
395,3.2,0.5
400,3.3,1.2
436,12.4,1.2
456,17.8,0.8
457,3.9,0.8
462,20.0,1.1
556,11.8,1.0
578,4.6,1.1
617,7.3,0.9
650,3.2,0.9
654,15.4,0.6
675,8.6,0.7
680,3.6,1.0
871,8.6,0.2
900,3.9,0.2
917,3.6,0.1

59,23.3,1.5
82,5.7,2.1
92,14.8,2.1
106,3.4,1.6
118,5.7,1.6
137,7.2,1.4
148,16.6,1.8
181,12.6,2.2
207,16.7,2.6
254,11.5,1.1
284,5.6,0.9
318,8.3,1.0
326,3.2,1.1
330,9.5,0.5
332,12.5,0.7
360,6.6,0.4
367,8.7,0.6
442,3.7,0.7
473,6.0,1.3
489,4.2,0.9
506,7.9,0.7
573,9.6,0.8
599,6.9,0.4
619,11.2,0.4
623,4.5,0.4
678,3.1,0.5
724,9.4,0.7
746,9.0,0.7
800,9.7,0.5

51,6.6,1.1
74,17.4,1.7
79,11.3,2.2
114,6.8,1.9
116,15.0,2.7
125,9.0,2.1
130,7.8,2.1
141,9.3,3.1
144,9.6,2.2
145,13.4,2.5
146,12.6,1.7
174,22.4,1.4
179,7.4,2.5
200,13.7,1.6
206,3.9,0.3
212,3.3,0.8
220,10.3,0.7
235,3.2,1.1
238,9.9,1.2
247,8.7,0.6
248,7.6,0.9
249,7.3,0.9
256,6.8,0.4
266,3.7,0.5
275,3.2,1.6
300,24.8,0.7
334,4.7,0.1
346,8.7,0.4
394,10.0,0.1
401,3.1,0.1
456,3.7,0.1

41,14.2,1.1
50,11.4,1.4
70,22.8,2.5
124,17.9,1.7
148,8.4,1.8
164,5.3,2.2
182,4.6,2.1
183,7.1,2.0
192,7.7,1.4
210,11.7,0.9
225,24.1,2.2
330,4.4,1.0
353,12.7,0.8
367,3.2,0.4
393,5.2,0.7
421,6.8,0.8
447,9.1,1.2
488,3.5,0.7
561,3.1,0.8
569,4.9,0.6
655,4.4,0.4
682,8.5,0.6

54,16.8,1.9
93,15.0,2.0
103,8.4,1.9
130,10.3,2.2
144,10.2,2.5
223,9.6,2.3
252,16.6,1.6
254,8.9,2.1
322,5.1,1.0
343,4.2,0.5
396,5.0,0.9
424,6.4,1.1
426,5.6,1.1
441,17.4,0.6
463,7.3,0.7
477,9.3,0.4
519,4.2,1.4
541,7.5,0.8
544,6.4,0.1
551,6.2,0.5
575,3.1,0.9
582,11.1,0.4
654,3.5,0.9
684,5.4,0.3
698,4.4,0.6
778,8.3,0.1

40,9.4,1.2
