,Actual_Points,sdPts
514,4.4,0.9
518,3.2,1.3
554,4.2,1.1
570,14.5,1.8
608,17.0,1.2
621,11.1,0.8
722,3.8,0.8
785,12.1,0.2
786,12.1,0.2
793,3.1,0.8
811,7.4,1.1
881,7.2,0.6
890,11.4,0.6
894,5.3,0.8
969,6.2,0.7
1068,4.2,0.4
1170,7.0,0.3
1309,18.5,0.1

2,29.4,1.3
16,14.3,1.7
17,7.6,1.1
19,22.0,1.3
21,19.8,1.2
26,26.0,1.6
27,10.0,1.3
28,7.9,1.0
31,6.4,0.9
37,17.6,1.8
46,16.0,1.4
51,28.8,1.1
53,23.8,1.7
66,27.3,1.7
71,3.9,1.4
72,16.4,1.4
73,5.9,1.2
74,11.7,1.6
81,29.7,1.2
84,20.5,1.8
89,14.0,1.0
94,8.4,1.7
96,8.8,1.3
97,25.4,1.2
98,18.2,3.3
99,18.2,3.3
120,6.2,1.4
127,12.6,1.9
132,12.1,2.1
141,5.5,2.3
142,8.1,1.0
144,4.9,0.8
183,5.9,1.1
216,15.9,1.3
246,8.1,1.5
263,6.6,1.3
302,4.9,1.4
322,12.4,0.9
367,8.4,0.9
401,4.2,0.6
422,12.8,1.8
440,6.1,0.9
455,5.2,1.3
459,7.3,1.4
518,12.0,1.6
527,6.3,2.0
575,3.5,2.8
583,5.8,0.5
604,5.4,0.6
613,18.7,1.3
689,10.2,1.8
708,3.5,0.3
709,3.5,0.3
714,17.7,0.9
1142,18.6,0.4
1159,3.5,0.2
1281,3.2,0.2

2,13.4,1.0
6,23.8,1.2
18,24.5,1.2
20,16.2,1.0
23,12.5,1.3
26,12.9,1.3
28,6.7,1.2
31,8.8,2.1
32,15.7,0.8
38,23.6,1.6
42,12.3,1.0
43,13.2,1.6
46,10.3,0.8
63,24.6,2.2
64,17.6,1.3
66,5.1,1.7
77,14.6,1.3
80,10.8,1.4
82,22.0,1.1
84,11.0,1.2
88,14.0,1.3
91,5.9,2.0
95,21.5,2.9
100,18.1,1.5
106,13.9,3.9
107,13.9,3.9
110,3.1,2.4
121,7.1,1.2
139,7.4,1.3
140,3.4,1.3
147,12.4,1.3
162,13.2,1.5
185,7.7,1.6
227,3.8,1.0
267,4.0,1.2
284,13.1,1.4
289,12.3,0.9
317,9.6,1.3
367,3.8,1.5
396,3.1,1.0
424,3.3,0.8
433,6.0,1.6
451,7.9,1.0
458,4.7,0.7
467,3.4,1.4
474,18.3,1.2
501,8.1,0.9
633,7.4,0.7
634,7.4,0.7
660,9.5,1.9
714,5.7,0.8
747,5.4,1.6
781,15.2,0.8
866,5.8,0.9
875,4.7,2.3
929,10.8,1.4
948,3.8,0.6
1096,22.7,0.9

12,22.2,6.3
17,8.1,5.7
25,11.2,5.2
26,3.5,2.1
29,19.4,5.1
33,10.9,5.3
36,4.5,5.9
39,10.3,5.2
45,22.9,1.9
46,5.0,1.0
49,12.4,3.1
66,11.9,3.7
68,14.3,1.6
70,10.8,2.8
71,8.0,1.7
74,7.3,2.2
78,5.5,1.5
79,7.6,1.3
81,12.6,1.5
84,8.6,1.6
87,14.9,2.6
99,10.2,3.4
102,12.0,1.8
126,9.8,1.9
129,11.9,3.6
132,11.4,2.1
134,5.3,3.9
137,23.9,3.5
150,18.8,1.6
171,7.7,2.1
188,4.4,3.0
242,12.4,1.3
248,3.3,1.4
287,5.9,1.7
295,4.9,1.4
307,11.8,0.6
308,4.6,1.8
314,12.8,3.3
366,9.7,1.4
392,5.3,2.9
396,3.4,1.0
425,9.6,2.5
437,12.6,1.3
473,9.7,1.5
518,18.0,1.3
634,9.5,1.2
895,3.1,0.8
947,10.0,0.5

5,10.1,1.5
8,6.2,1.8
20,18.4,2.6
